"","IH00C1_hpfc","T00C1_hpfc","TF00C1_hpfc","TY00Y_hpfc"
"2015-10-30",5.22694578648659,0.862997230516909,0.581824905338865,0.174944580125626
"2015-11-02",-11.1980197742069,0.811788206449464,0.576487440179399,NA
"2015-11-03",-23.6729750257921,0.570679981365695,0.361316316221039,-0.4597504427831
"2015-11-04",95.6043471425951,0.299679276949968,0.206315218850563,-0.626021903389794
"2015-11-05",155.43622362713,0.578792578990256,0.451487684100944,-0.683081713327108
"2015-11-06",221.224891805159,0.128026249399209,0.186837162723298,-1.59994152545579
"2015-11-09",244.372524802853,-0.86261358916017,-0.407633081158465,-1.70451271027756
"2015-11-10",237.281204300923,-0.523120866945672,-0.191919860651299,-1.3407059769433
"2015-11-11",241.552910966274,-0.033489157645137,0.113980179636931,-1.35223133002558
"2015-11-12",207.989527383216,-0.163711818709216,0.0800704744302723,-1.3797982199048
"2015-11-13",184.99283628795,-0.333782193746035,-0.0736455886619861,-1.11071553800223
"2015-11-16",184.964534442167,0.0363064413085926,0.102835344871278,-0.81079160538544
"2015-11-17",172.306242138902,0.186560948491286,0.159516659983857,-1.26123428399834
"2015-11-18",182.019503214268,-0.393011825169705,-0.163598300878687,-1.07145110063582
"2015-11-19",231.30579028,-0.182405109762473,0.00349373879110597,-0.944549060747751
"2015-11-20",175.566500708164,0.208388027080437,0.220796123126103,-1.03673472689066
"2015-11-23",174.202936258429,0.0493745931249151,0.258312194814804,-1.22311427118234
"2015-11-24",172.616326118267,0.0305615099973081,0.506045205277092,-0.753593437196214
"2015-11-25",200.207827466671,0.0819556789151198,0.443998299157866,-0.784477462919005
"2015-11-26",187.778526129979,0.403563988462889,0.282174411922172,-0.80017127483195
"2015-11-27",93.329425176673,0.125393293348249,0.160576295505303,-0.613179475145365
"2015-11-30",83.8614500551514,0.417450281460964,0.309206585202008,-0.754706335311715
"2015-12-01",102.175487635156,0.129741588858517,0.138067849931334,-0.271655873318258
"2015-12-02",230.872390121559,0.182273679041935,0.147162530799305,-0.585931795187588
"2015-12-03",223.55296748392,0.285052961881081,0.21649301183985,-1.61933769465066
"2015-12-04",165.817934258448,0.158085771901998,0.126061616255652,-1.3250769232391
"2015-12-07",158.267912573519,0.221378325800924,0.17587057776036,-0.953152163113014
"2015-12-08",129.70345601509,0.434936774928093,0.275922077958228,-0.940965548699545
"2015-12-09",147.125052747519,0.388767179124528,0.246218225756928,-0.944918820433452
"2015-12-10",126.533137320929,0.302875418445945,0.186761016007437,-1.02741332978879
"2015-12-11",139.928083469885,0.537267212248105,0.327552341785235,-0.750950037650872
"2015-12-14",216.110212625273,0.0119481546893029,0.0585940189655403,-1.20932948021223
"2015-12-15",177.279788377296,0.196923617843292,0.149887728026709,-1.94945188325323
"2015-12-16",181.036984984898,0.252198968846033,0.181435125227292,-2.33051697266578
"2015-12-17",212.981903426676,0.217779493431793,0.153237804867389,-1.44652366851707
"2015-12-18",241.914569847868,0.603670373085796,0.515297286249532,-1.70356992753178
"2015-12-21",280.234922355524,0.829876699273038,0.65761502533395,-1.53915310850113
"2015-12-22",281.342799058897,0.896403313925762,0.640192265078292,-1.90636986602728
"2015-12-23",289.437922229434,0.953254715937053,0.653029976607159,-2.13341621849009
"2015-12-24",278.9198978428,1.23043503366371,0.786128866416722,-2.01718739625178
"2015-12-25",303.988212232624,1.18794800142616,0.669489371066868,NA
"2015-12-28",205.242236438295,1.38579684493039,0.753111602162192,-1.96387774780675
"2015-12-29",238.681215842691,1.11398429883455,0.60699539456825,-2.12968078782429
"2015-12-30",234.504310989789,1.01251252496287,0.551140271844296,-2.5771892191859
"2015-12-31",220.91058376234,0.881383224664091,0.425545506642026,-2.36879486444881
"2016-01-04",88.2989991084789,0.680597680754334,0.33021014379413,-2.0045884808648
"2016-01-05",97.4684306608097,0.400156811721568,0.0451330522294915,-2.04695984651951
"2016-01-06",126.617715552587,0.800061254722146,0.320312964381614,-1.48039791088337
"2016-01-07",-13.4543493724336,0.620311481503474,0.265748594028566,-1.22659077729507
"2016-01-08",37.0509803909497,0.980907633099635,0.431438522542685,-0.92632593715736
"2016-01-11",-45.4675450907914,0.951849594133405,0.447381221447072,-1.12639037484957
"2016-01-12",-31.8111910664005,1.32313684375978,0.623574983925944,-0.54547069184443
"2016-01-13",-52.1812039902052,1.50476846767713,0.760017918233624,-0.277353024010153
"2016-01-14",-19.9788171670798,1.106743004652,0.536707874863312,-0.66582328174006
"2016-01-15",-68.0052423322989,1.28905837144028,0.653642390147845,-0.163967260779897
"2016-01-18",-117.061682962647,0.921712027315266,0.430818778566207,-0.193570481651743
"2016-01-19",-58.1493144243674,0.744700898705365,0.298234084408236,-0.348418397100185
"2016-01-20",-102.069263695042,0.868021531040404,0.385885173880627,0.152803620144891
"2016-01-21",-139.422633715676,0.94167016191994,0.413768789911677,0.419410341375791
"2016-01-22",-108.010485235913,0.985642670138259,0.421881515920728,-0.439283525278461
"2016-01-25",-110.033821373696,0.379934545242465,0.0402197642915832,-8.71986344505611
"2016-01-26",-209.09360059986,0.444540869353378,0.0787797730192039,-0.0164147016127578
"2016-01-27",-205.390735901613,0.289456567541899,-0.00244223652660878,0.0463810258359718
"2016-01-28",-231.326053835271,0.464676381125045,0.0765499244594618,0.124542064860613
"2016-01-29",-173.700296056908,0.850194931768943,0.275752445792214,0.437086723858926
"2016-02-01",-201.714108601777,0.816006649062288,0.235161485643751,0.390133259748396
"2016-02-02",-165.368065704264,0.382105611155838,0.00477308820139438,1.0148997487724
"2016-02-03",-184.262658218293,0.518485558897529,0.0745832004463147,1.21780410590873
"2016-02-04",-154.198308641288,0.685140075186772,0.184587767386187,1.20186382661661
"2016-02-05",-171.575363303971,0.712062528603663,0.214782703199163,1.46719590296383
"2016-02-15",-183.194104797645,1.10924600451688,0.435163845762659,2.02807755032691
"2016-02-16",-130.2547447912,0.75668329395868,0.235726944170828,1.65293157721073
"2016-02-17",-116.757419228515,0.804366729443003,0.22646756763906,1.23106522278517
"2016-02-18",-109.502210211337,0.262288330701186,0.257381187943145,1.43428791195682
"2016-02-19",-141.489151578701,0.120439784972164,0.258463183245228,1.49690856075979
"2016-02-22",-96.9182319058124,0.0388126710750024,0.229708825316912,1.40343549235109
"2016-02-23",-114.589381281762,-0.0526014819560952,-0.278886720908588,1.07577641112558
"2016-02-24",-100.902489733769,-0.163811161130318,-0.287328385450139,1.60753844135497
"2016-02-25",-202.257399922314,-0.334824831713318,-0.365620983046278,1.74872826262765
"2016-02-26",-178.253912798839,-0.275650891258538,-0.253769209665253,1.2964518900405
"2016-02-29",-203.491745709655,-0.246297598915558,-0.191777610143266,1.40671461583671
"2016-03-01",-159.770542318214,-0.326773099891417,-0.0896506244172007,0.485921196358015
"2016-03-02",-79.0898621725283,-0.58708543758356,-0.277392613151319,0.299575806467308
"2016-03-03",-78.2491987779691,-0.7772425203145,-0.475007899952057,0.254082420166466
"2016-03-04",-4.24801294737902,-0.667252013728955,-0.322500693763022,-0.244455112374565
"2016-03-07",0.514266851550627,-1.06712126219145,-0.599875007178368,-0.399033046013301
"2016-03-08",-2.96178609297533,-0.946857334251023,-0.467134719483673,0.227852465440135
"2016-03-09",-25.6755987051926,-0.636466857351501,-0.30428346199975,0.198605433120242
"2016-03-10",-56.6265966851637,-0.365956067544139,-0.151324672953395,-0.767970226023551
"2016-03-11",-49.0141951197137,-0.00533093779085704,0.0317383352074169,-1.07817067713726
"2016-03-14",-33.8377856884054,-0.154597289781235,-0.0450976874136299,-0.888091767919061
"2016-03-15",-20.4967398104881,-0.10376094300166,-0.0618360038323528,-1.51042890039451
"2016-03-16",5.20958508221323,0.167172346965753,0.0515201415768784,-1.00747710948801
"2016-03-17",30.2818400301756,-0.141803132570523,-0.125032469999403,-0.801230805773576
"2016-03-18",20.720673920592,-0.160693163404132,-0.111497078671338,-0.579183983374194
"2016-03-21",78.1267231233366,-0.339503468713261,-0.227876872865791,-0.872630305216522
"2016-03-22",63.7006154430534,-0.238239705251805,-0.144174994920811,-1.25946319481557
"2016-03-23",62.6429463901254,-0.226907389436673,-0.160394492979479,-0.786775714976547
"2016-03-24",26.1542851435702,-0.0155119392059872,-0.0665383555890034,-0.610760407892818
"2016-03-25",36.6351749883516,-0.0640586787036899,-0.0126095049953534,NA
"2016-03-28",13.4861483982697,-0.282552925661473,-0.0886108359408664,-0.778209490536725
"2016-03-29",5.90772270367763,-0.0909999713318194,0.195454762044778,-0.039214927416064
"2016-03-30",57.7004096602644,-0.109404990171239,0.259584436059842,-0.237468361359194
"2016-03-31",61.6647185816421,-0.117773119020481,0.193775252409707,NA
"2016-04-01",68.0011349305106,-0.056109449496683,0.238024170097756,0.189538581016668
"2016-04-05",76.5101186798204,-0.304419024534318,0.052328068028539,0.669467402545491
"2016-04-06",67.792101693564,-0.372706863874417,0.0266837267170647,0.534805884136424
"2016-04-07",44.4474842094919,-0.480977861423437,0.011087905047902,0.509837748537335
"2016-04-08",27.8766384428937,-0.279236757025863,0.125537350875674,0.62577070719395
"2016-04-11",48.6799182361946,-0.217488091709256,0.19002880747184,0.742112260805591
"2016-04-12",47.4576659088372,-0.225736291075889,0.144558966215543,0.280569651401916
"2016-04-13",72.6102036577983,-0.433985690827235,-0.120875560064283,0.334949814254262
"2016-04-14",81.7378340630901,-0.732240533354441,-0.446278218293398,0.0146595686567517
"2016-04-15",85.2408296904976,-0.510504881656471,-0.231652405432631,0.241605595449524
"2016-04-18",53.1194293187192,-0.508782496053412,-0.167001333969331,0.0626945694126413
"2016-04-19",58.1738364913364,-0.437076925843234,-0.17232812063497,-0.131566934543626
"2016-04-20",26.0042327944666,-0.735391510013644,-0.347635813129489,-0.731672367423393
"2016-04-21",39.2107757675585,-0.723729406882377,-0.372927387919229,-0.878315125848503
"2016-04-22",50.3936122008244,-0.652093470785775,-0.318205677771898,-0.915288303995395
"2016-04-25",39.1528726764606,-1.00048625689969,-0.523473361302029,-1.17048463298041
"2016-04-26",43.4886669458521,-0.708910050850669,-0.328732985590682,-1.42539646557734
"2016-04-27",33.4010885762861,-0.71736672470447,-0.373986881336118,-0.711115670727864
"2016-04-28",26.0902131584955,-0.465857857491971,-0.249237243351611,-0.559033528172672
"2016-04-29",25.7561024765861,-0.574384731713555,-0.324486111859267,-0.625141023705492
"2016-05-03",55.7988075299731,-0.342948437302518,-0.099735424056531,-0.318787689473694
"2016-05-04",49.6183686715666,-0.251549826764758,-0.054986983011375,-0.33680758610162
"2016-05-05",46.2148031892829,-0.260189610845025,-0.0402425505651127,-0.244978700232606
"2016-05-06",-9.21189213916653,-0.238868396307495,-0.0255038658297021,0.0504090090405765
"2016-05-09",-40.6617396394691,0.122413317635574,0.179227348717607,0.0337656838903452
"2016-05-10",-36.9347578294402,0.213655130510529,0.223949381141802,0.11130144565303
"2016-05-11",-31.0309484189616,-0.955143408757047,-0.671339554577527,0.0956264017073896
"2016-05-12",-26.3502978506037,-0.663982839558048,-0.516641337032404,0.0804506134237493
"2016-05-13",-29.6927797399749,-0.792863306465403,-0.611957567310091,0.0657841026453387
"2016-05-16",-25.6583568105441,-1.18178467958827,-0.737289632939143,0.0516368579611889
"2016-05-17",-28.4469795119425,-1.17074650129801,-0.752638668489374,0.0380188407655593
"2016-05-18",-35.8585876877416,-1.39974782546371,-0.908005503764848,-0.72506000889026
"2016-05-19",-38.8931094225912,-1.34878722201493,-0.873390657458935,-1.22188976667016
"2016-05-20",-44.9504579786993,-1.10786268228177,-0.748794272932133,-1.23386020852945
"2016-05-23",-42.430530541419,-1.14697164005999,-0.794216132520291,-1.85466060534105
"2016-05-24",-54.5332057153767,-0.936111071199307,-0.649655709037839,-1.86547971795014
"2016-05-25",-51.0583445661136,-0.965277477437621,-0.65511214700224,-1.26630554056153
"2016-05-26",-51.6057856173671,-1.10446697356213,-0.760584322389345,-1.27592529626361
"2016-05-27",-47.375346287387,-1.18367527535313,-0.806070840378065,-1.28492568470618
"2016-05-30",-35.3668226626715,-1.33289764204867,-0.861569991752255,-1.29329287812278
"2016-05-31",32.820008753404,-1.13212884360304,-0.717079734098573,-1.30101251761062
"2016-06-01",14.3853860765482,-1.21136309900427,-0.722597668865215,-1.30806970967044
"2016-06-02",13.7295338561029,-1.3505941592638,-0.828121101088478,-1.31444902301762
"2016-06-03",29.0526706950684,-1.30981527466432,-0.783647037111862,-1.32013448566471
"2016-06-06",15.1550095211241,-1.2690191372072,-0.729172140966871,-1.32510958228199
"2016-06-07",17.0367512528356,-1.35819789746879,-0.794692752756861,-1.32935725185024
"2016-06-08",10.8980905442755,-1.38734318146408,-0.880204911174718,-1.33285988560284
"2016-06-13",-56.8607849927864,-1.14644605378351,-0.735704326419331,0.848786766610521
"2016-06-14",-34.4396922514783,-0.935497005545782,-0.611186344848256,0.942151373655424
"2016-06-15",-26.8384246208321,-0.864486053974744,-0.606646008708442,0.973956422845401
"2016-06-16",-27.8567612540488,-0.573402829597668,-0.412078107607071,1.22532098807085
"2016-06-17",-18.0944702103373,-0.642236605597753,-0.457477180388221,1.22756374063135
"2016-06-20",-53.5513080340562,-0.670976418136658,-0.462837595559264,1.23070284532655
"2016-06-21",-54.8270237899715,-0.559611037901192,-0.388153532525186,1.23475595953099
"2016-06-22",-44.7213444069737,-0.518128958223493,-0.403418979372443,0.349040231896877
"2016-06-23",-51.6339741506323,-0.546518441115455,-0.398627763740255,0.354972300678541
"2016-06-24",-79.9645988004919,-0.244767534414288,-0.233773546510913,0.361868659849793
"2016-06-27",-55.5128827927245,0.0271359399504796,-0.068849823789899,2.33854565665391
"2016-06-28",-50.6784575093207,-0.290795738772879,-0.273849995049907,2.26931948875061
"2016-06-29",-30.6609313855297,-0.328550302553405,-0.278767431304176,2.31040538713898
"2016-06-30",-30.8598919081183,-0.0561153631567383,-0.133595390367412,2.02441764477571
"2016-07-01",-27.8749138898619,0.17652160346109,0.00167298517709715,2.03636959958626
"2016-07-04",4.69444061272848,-0.100626855460148,-0.112955392030726,2.04937375268374
"2016-07-05",10.2486210654369,-0.207548265648057,-0.167473610042932,2.79784176342895
"2016-07-06",7.58807499361167,-0.0442301112347242,-0.101874710220452,NA
"2016-07-07",7.91324568621186,0.209340209440134,0.0438483353030591,2.92238444405208
"2016-07-08",-1.37542670441722,0.203175316318631,0.0897025965047031,2.90731145026888
"2016-07-11",5.5224947030891,0.0072877428109866,-0.0643048747633733,2.92463122979898
"2016-07-12",51.6074473586089,-0.178310061656935,-0.168167063729055,2.94305102859889
"2016-07-13",48.879866429266,-0.253605650671992,-0.221876929038699,2.05637688369633
"2016-07-14",47.9401657497259,-0.188586504114938,-0.195427359825082,1.57701361558213
"2016-07-15",45.5887389496721,0.0367600029644789,-0.0588111535065595,1.59876519472216
"2016-07-18",30.2259598422648,0.0224465734699475,-0.0820210267186382,1.52783493970671
"2016-07-19",11.4521833961034,0.0784858951094529,-0.0350496717876875,NA
"2016-07-20",3.46775208561971,0.364890646313037,0.142110252864613,NA
"2016-07-21",16.0730036513292,0.431673473068833,0.189466103304305,1.55182550826746
"2016-07-22",-7.33172559965722,0.428846870532182,0.197025176855245,NA
"2016-07-25",-5.74610600414593,0.25642315542293,0.114794692523606,1.45193892658255
"2016-07-26",20.0301951316785,0.454414467192637,0.222781787872776,1.47817657937539
"2016-07-27",-4.00248712318882,0.362832839297843,0.180993553015116,NA
"2016-07-28",1.35617402064079,0.631690117358746,0.31943698597376,1.84933925118999
"2016-07-29",-7.89349299302565,0.530997997013861,0.2581190099567,NA
"2016-08-01",-23.5511602809796,0.390767912788027,0.197046416129176,NA
"2016-08-02",-23.8164966971234,0.531011079712129,0.296225888960509,NA
"2016-08-03",-27.4891613602654,0.64173855128964,0.355664031469063,NA
"2016-08-04",-29.1688035444404,0.672961161525139,0.365367324224893,1.87782711555435
"2016-08-05",-24.6550611607841,0.924689479153853,0.50534210078167,NA
"2016-08-08",-16.7475600632097,0.936933794735897,0.515594543663721,1.36053958155288
"2016-08-09",-4.0459159142024,1.05970401660206,0.576130626508155,1.87567528205444
"2016-08-10",-4.7497374535094,1.12300966579364,0.586956109825697,2.07943228753275
"2016-08-11",-0.458631748434468,0.79685982530972,0.668076515978089,NA
"2016-08-12",40.0277960970622,1.0312631139477,0.829497124703001,2.11240789313219
"2016-08-15",103.909941168594,1.19622782111002,0.941222939581546,2.14649853444635
"2016-08-16",80.7881820059,0.971761809919701,0.503258621314974,2.0722997738822
"2016-08-17",72.4628541965292,0.907872449024659,0.485608441539975,2.10860628657222
"2016-08-18",64.9342599334408,0.93456670538799,0.498276463867171,2.14601189104195
"2016-08-19",61.4026714563616,0.691851170693808,0.341266551176136,2.1845095342038
"2016-08-22",49.0683341638086,0.899732050314137,0.424582360378113,2.22409127589585
"2016-08-23",49.5314680729097,0.518215263635638,0.20822740731917,2.26474827296973
"2016-08-24",38.1922729179063,0.507306358135647,0.192205032340427,NA
"2016-08-25",23.6509279587289,0.467010667078133,0.166518489708987,NA
"2016-08-26",20.9075966681578,0.707333314030599,0.361170954243372,2.13457076292242
"2016-08-29",13.5624327426307,0.528279229515771,0.266165531928827,2.17734804709919
"2016-08-30",26.0155812362211,0.189853051672539,0.0715051794579001,2.22116854449979
"2016-08-31",31.4671815968414,0.292059200269289,0.127192743500967,2.2660197740912
"2016-09-01",15.3173625186087,0.374902016599266,0.163231041170945,2.31188833670352
"2016-09-02",20.9662396883744,0.35838572122858,0.159622837003902,2.35875989648431
"2016-09-05",21.2139224614062,0.342514379756469,0.136370828065371,2.40661916193753
"2016-09-06",29.0605115263707,0.267291909635389,0.113477645435626,2.45544986655166
"2016-09-07",31.5060988029529,0.232722086739098,0.0909458638254597,2.50523474901534
"2016-09-08",26.5507641983923,0.42880857645486,0.238778011039253,2.55595553303551
"2016-09-09",19.1945745965716,0.545554947968702,0.286976577288742,NA
"2016-09-12",-19.5624140936421,0.352964593216334,0.18554395408352,NA
"2016-09-13",-22.72015389765,0.651040678623863,0.304482414308768,1.24819290675218
"2016-09-14",-35.2785887545362,0.719786224715634,0.343794154152732,1.30072650177861
"2016-09-19",-24.6376532117879,0.779203982900278,0.36348124394425,0.939698280731381
"2016-09-20",-40.9972672341394,0.829296407056485,0.393545611900855,1.01039306089316
"2016-09-21",-38.3573406021139,0.850065628970943,0.403989035991229,1.06629740407476
"2016-09-22",-26.9177661496097,0.851513437633976,0.424813131507856,1.122988522433
"2016-09-23",-33.6784208551448,1.00364127065128,0.506019346751225,1.18044318736091
"2016-09-26",-58.839170570514,1.12645021364883,0.547608954420294,2.09803770605201
"2016-09-27",-52.9998672262085,1.11994093738835,0.589583018047039,2.40694789775303
"2016-09-28",-58.9603384309697,1.12411364699953,0.611942374802168,NA
"2016-09-29",-50.9203898855288,1.12896808467476,0.634687618148221,NA
"2016-09-30",-50.479802918781,1.1645035279437,0.647819088594698,NA
"2016-10-10",-27.8383378111821,1.5407187876659,0.831336864296806,0.91581713496082
"2016-10-11",-24.9957339768659,1.45761219333935,0.825240755626325,0.883630344300895
"2016-10-12",-32.3517193227179,1.3651814375941,0.779530229316042,NA
"2016-10-13",-37.5060114233874,1.49342361054131,0.874204410975782,NA
"2016-10-14",-27.4583144806299,1.58233523798103,0.90926210398946,1.27382592743309
"2016-10-17",-49.0083171927267,1.67191222839072,0.994701750379585,NA
"2016-10-18",-16.15569690779,1.66214983617515,0.970521416317801,1.33647570526075
"2016-10-19",-20.9001107158607,1.8630426246377,1.10671875680409,1.39965097213598
"2016-10-20",-18.6412090288684,2.12458447001499,1.27329102566549,1.46332246996674
"2016-10-21",-17.1786336194797,2.21676847843826,1.30023501925437,NA
"2016-10-24",15.8879814451616,1.90958687782066,1.1175470075967,1.74616036210173
"2016-10-25",8.75900919887169,1.83303097975052,1.05522272325379,1.40453420701085
"2016-10-26",-1.16518389197968,1.65709130647307,0.923257436837786,1.46951284137143
"2016-10-27",-5.6842349816592,1.92175762252843,1.13164598277451,1.05046452128385
"2016-10-28",-1.59778074276241,1.9970190074843,1.16038281385093,NA
"2016-10-31",-7.705455498289,1.72286374652992,0.999461915078299,NA
"2016-11-01",1.79310708924962,1.83927929936901,1.05887679181203,NA
"2016-11-02",-12.9017234575515,1.90625241353952,1.14862053627027,1.61615689540897
"2016-11-03",8.01042164270936,2.11376907629889,1.25868580297301,1.68215717818939
"2016-11-04",6.92991650448753,2.16181448693444,1.269064771649,1.74843191601208
"2016-11-07",11.0571319310546,1.95037297098649,1.15974910173532,1.81494695992909
"2016-11-08",21.5924358611188,1.93942796038842,1.18072992808772,NA
"2016-11-09",2.93619166283965,1.99896208086725,1.19199790617046,0.912967438261231
"2016-11-10",24.6887537789183,1.75895715647013,1.03354320337989,-0.457642270898031
"2016-11-11",44.6504754383582,0.68939418495136,1.05535549438933,-0.390618166838362
"2016-11-14",49.6216996648116,0.530253436984873,0.997424026646916,NA
"2016-11-15",42.4027510252464,0.741514898275444,0.329737611358721,NA
"2016-11-16",38.1939335749612,0.553158335344155,0.182284647435706,NA
"2016-11-17",42.1955338417469,0.485163208198055,0.0550533974894438,NA
"2016-11-18",26.0078225654788,0.46750874819168,-0.0119679512182752,NA
"2016-11-21",49.4310530441364,0.610173986131907,0.051208765817377,NA
"2016-11-22",69.4654678250969,0.663137759576612,0.0745717180484915,NA
"2016-11-23",74.9112890229259,1.00637865386306,0.348109053759692,NA
"2016-11-24",79.7687100379572,0.889874980212297,0.321808890410476,NA
"2016-11-25",112.837893305229,0.823604633850121,0.275659201565627,NA
"2016-11-28",124.518968286584,0.887545142163392,0.349647827767982,NA
"2016-11-29",164.812017801215,0.261673692094462,-0.0462375043866623,NA
"2016-11-30",137.917073197225,0.235967103709485,-0.0720092128327828,NA
"2016-12-01",151.434097696002,-0.399597911090136,-0.407679696392116,NA
"2016-12-02",128.56299750957,-0.285044737942544,-0.403261324120668,NA
"2016-12-05",84.9036162531989,-0.510396597308488,-0.538766296555926,NA
"2016-12-06",80.0557443994008,-0.865676591822175,-0.734206647543607,NA
"2016-12-07",82.8191373249082,-0.650907613140729,-0.629594188224851,NA
"2016-12-08",87.9935173146415,-0.546112195085173,-0.574940426249461,-2.29229605967864
"2016-12-09",117.378572419433,-0.601312602417645,-0.580256609018263,-3.44381159807202
"2016-12-12",88.9739543171385,-1.58653087415931,-1.01555374627485,-3.37659948312867
"2016-12-13",77.5792661660297,-1.69178880077307,-1.10084260790805,NA
"2016-12-14",64.9940743461124,-1.9071075169137,-1.23613354401761,NA
"2016-12-15",9.01791316922695,-3.57250745791833,-2.35143644965919,-4.9968929924255
"2016-12-16",7.45029008131441,-2.228008270803,-1.37676070892058,-4.63282400778888
"2016-12-19",-15.9092911993546,-3.37362812585211,-2.07211473390031,NA
"2016-12-20",-31.6613300341616,-3.24938427238176,-2.09750636759936,-4.36262234553059
"2016-12-21",-9.40631920820074,-1.70529256518519,-1.0029425964898,-4.29561590693938
"2016-12-22",-22.1447384190758,-0.931367515891358,-0.678429540018858,NA
"2016-12-23",-38.8770634761742,-1.29762293122984,-0.963972903057754,-4.2287307899713
"2016-12-26",-20.0037610351464,-1.17407223293997,-0.83957811004207,NA
"2016-12-27",-29.1252816814317,-1.59072830637631,-1.02525018693996,-4.16199131694731
"2016-12-28",-37.2420677317129,-1.09760355157856,-0.72099381267151,-4.09542006220166
"2016-12-29",-40.5545494634648,-0.0147097110442189,-0.126813242359789,-4.02903787966815
"2016-12-30",-34.0631417597652,-0.33205807356474,-0.282712433098077,-3.96286393039847
"2017-01-03",-9.56824274009655,-0.219659921851694,-0.268695289559823,-3.89691571000282
"2017-01-04",3.92976355641311,-0.337526401356651,-0.284765599556846,-3.83120907600206
"2017-01-05",2.03049704574957,-0.0756685667334542,-0.0309270398329235,NA
"2017-01-06",-8.06642398051059,-0.244097333115167,-0.157183169421408,-2.48455827508957
"2017-01-09",-0.761382070113337,0.197176415642573,0.00646246542867126,NA
"2017-01-10",-6.65475643646271,0.188141896584559,0.0100063834411475,-2.41937597029021
"2017-01-11",-16.5469259782428,-0.0912117547489134,-0.106554899331412,-2.35447379761306
"2017-01-12",-25.4382668433309,0.0391045194113315,-0.0332248709723499,-2.2898623929935
"2017-01-13",-12.3291483397686,0.219079814539101,0.10999302448012,NA
"2017-01-16",6.7800707395602,-0.381296790058209,-0.30690464327821,-2.22555141912343
"2017-01-17",6.08903669814492,-0.6020363056297,-0.353921350018378,-2.16154959215713
"2017-01-18",24.3973930368653,-0.513149585813118,-0.301060444649275,-2.09786470829395
"2017-01-19",12.3047807396393,-0.184647235387117,-0.0183251297829208,-2.03450367023782
"2017-01-20",27.0108307054825,0.153460352982906,0.114281516414899,-1.97147251351823
"2017-01-23",22.9151687471076,0.0311628629592532,0.0967564233531962,-1.90877643268368
"2017-01-24",26.2174095120406,-0.741550085231311,-0.2109035267982,NA
"2017-01-25",32.7171581755987,-2.3746888842434,-0.318701491864719,NA
"2017-01-26",37.8140090758712,-2.66826362020436,-0.196640542492897,-2.39321980735521
"2017-02-03",13.7075430269914,-3.40228339764018,-0.494723617590509,-1.58321778544642
"2017-02-06",12.3973252123045,-3.50675621812346,-0.392953574782981,-1.52224559508631
"2017-02-07",3.28291514900459,-3.15168867686258,-1.59133306719594,-1.18042197064662
"2017-02-08",12.363867229737,-2.61708591951108,-1.23986458552402,-1.12014652823027
"2017-02-09",18.4397344901192,-2.21295178894284,-1.04854996266896,NA
"2017-02-10",29.1100648550354,-2.36928904623168,-1.11739051902231,-1.1383183959994
"2017-02-13",36.7743986271159,-1.94609953770772,-0.836387141546848,NA
"2017-02-14",31.8322640760898,-2.16338413033176,-0.925540255321566,-1.07873623909342
"2017-02-15",29.2831742706151,-2.32114288662499,-0.964849939696459,NA
"2017-02-16",29.7266291211665,-1.45937497485374,-0.454315891440251,-1.01949825211715
"2017-02-17",15.5621164337363,-1.44807860381575,-0.463937408491379,-0.960602183768831
"2017-02-20",52.3891117265275,-0.917251379062834,-0.223713600993002,-0.902045361327577
"2017-02-21",46.6070840849856,-1.44689030756984,-0.493643387314717,NA
"2017-02-22",48.4154809390092,-0.856992017155714,-0.143725593352049,-0.843824714997396
"2017-02-23",36.413730452983,-0.837552537552699,-0.113958840947872,-0.785936802113323
"2017-02-24",36.6012407782951,-0.768567544248296,-0.14434169253507,-0.728377831207456
"2017-02-27",18.9774050143707,-0.820032366518467,-0.194872663440476,-0.671143685937035
"2017-02-28",14.1416011311328,-0.531942015945105,0.00444979067429803,-0.614229948876915
"2017-03-01",14.69319925403,-1.15429116514067,-0.336372705300041,-0.557631925178406
"2017-03-02",-3.36843633705697,-1.19707426683437,-0.367338528311852,-0.5013446660946
"2017-03-03",-14.2439474358408,-1.31028529661947,-0.408445916266927,-0.4453629923764
"2017-03-06",-11.3339744436741,-1.32391773526466,-0.469692955228068,-0.389681517539359
"2017-03-07",-7.23915187400483,-1.07796452192049,-0.311077562422527,-0.334294671003188
"2017-03-08",-5.16010955531145,-1.52241804848324,-0.642597460925511,-0.279196721108894
"2017-03-09",-21.4974743236549,-1.62727026126245,-0.714250245225604,NA
"2017-03-10",-27.8518708820771,-1.47251247725931,-0.636033244187326,NA
"2017-03-13",-6.42391504753625,-0.648135340829011,-0.227943491432393,-0.224381798013573
"2017-03-14",-12.2142111240531,-0.554128887648549,-0.0999777576727038,NA
"2017-03-15",-12.4233607603079,-0.410482885482014,-0.0821327193968836,-0.16984391646598
"2017-03-16",4.74803944383773,0.302813126961812,0.215594988232869,-0.115576998464337
"2017-03-17",-30.5006019760662,0.245769780650523,0.163208764004833,-0.061574895799784
"2017-03-20",-26.7698784471329,0.348397581381568,0.18071191758924,-0.0078314124888762
"2017-03-21",-22.2603707887748,0.59070693336045,0.338107691191875,0.0456596729042094
"2017-03-22",-38.1726487548289,0.612708096779512,0.255399252320095,NA
