"","IH00C1_hpft","T00C1_hpft","TF00C1_hpft","TY00Y_hpft"
"2015-09-16",2393.7367255688,97.1229774692923,98.6140080957355,127.347030294844
"2015-09-17",2388.39038035528,97.1528332898659,98.6411986742401,127.351949564594
"2015-09-18",2383.14808289523,97.1829045869391,98.6684446977697,127.356988178917
"2015-09-21",2378.00862699942,97.2131796760581,98.6957356439812,127.362144791285
"2015-09-22",2372.97071051809,97.2436465450142,98.723061003575,127.367418224072
"2015-09-23",2368.0329517674,97.2742928537295,98.7504102896824,127.372807324352
"2015-09-24",2363.19389516694,97.305105855527,98.7777729604327,127.378311200685
"2015-09-25",2358.45199054583,97.3360724051295,98.8051384324492,127.38392914338
"2015-09-28",2353.8056008477,97.3671790285951,98.8324961398106,127.389660725563
"2015-09-29",2349.25299499639,97.3984119766542,98.8598355558073,127.39550567168
"2015-09-30",2344.79235196648,97.429757319325,98.8871462229692,127.401464126372
"2015-10-08",2340.42174530392,97.4612010570109,98.914417807902,127.439683673906
"2015-10-09",2336.13915257571,97.4927291447464,98.9416401106662,127.446493323916
"2015-10-12",2331.94248131664,97.5243274585305,98.9688030287028,127.453440153263
"2015-10-13",2327.8295858459,97.5559821377849,98.9958968555996,127.460529453082
"2015-10-14",2323.79829744111,97.5876795929598,99.0229122946659,127.467766869608
"2015-10-15",2319.84642016844,97.6194067156635,99.0498405800077,127.475158666047
"2015-10-16",2315.97172345532,97.6511508614266,99.0766734240238,127.482711984378
"2015-10-19",2312.17196728537,97.6828997621822,99.1034029318715,127.49043470668
"2015-10-20",2308.44491190169,97.7146413229988,99.1300214332972,127.498335400331
"2015-10-21",2304.78829730478,97.7463636709607,99.1565215211907,127.506423230871
"2015-10-22",2301.19985917723,97.7780555347386,99.182896272064,127.514707790785
"2015-10-23",2297.67731096785,97.809706115737,99.2091391317572,127.523199244719
"2015-10-26",2294.21836190932,97.8413052403369,99.2352439872082,127.531908384178
"2015-10-27",2290.8207304615,97.8728432104049,99.261205077067,NA
"2015-10-28",2287.48214425324,97.9043109101052,99.2870170759767,127.540846352766
"2015-10-29",2284.20034082565,97.9357000036769,99.3126752119844,127.550024732989
"2015-10-30",2280.97305421351,97.9670027694831,99.3381750946611,127.559455419874
"2015-11-02",2277.79801977421,97.9982117935505,99.3635125598206,NA
"2015-11-03",2274.67297502579,98.0293200186343,99.388683683779,127.569150442783
"2015-11-04",2271.5956528574,98.06032072305,99.4136847811494,127.57912190339
"2015-11-05",2268.56377637287,98.0912074210097,99.4385123158991,127.589381713327
"2015-11-06",2265.57510819484,98.1219737506008,99.4631628372767,127.599941525456
"2015-11-09",2262.62747519715,98.1526135891602,99.4876330811585,127.610812710278
"2015-11-10",2259.71879569908,98.1831208669457,99.5119198606513,127.622005976943
"2015-11-11",2256.84708903373,98.2134891576451,99.5360198203631,127.633531330026
"2015-11-12",2254.01047261678,98.2437118187092,99.5599295255697,127.645398219905
"2015-11-13",2251.20716371205,98.273782193746,99.583645588662,127.657615538002
"2015-11-16",2248.43546555783,98.3036935586914,99.6071646551287,127.670191605385
"2015-11-17",2245.6937578611,98.3334390515087,99.6304833400162,127.683134283998
"2015-11-18",2242.98049678573,98.3630118251697,99.6535983008787,127.696451100636
"2015-11-19",2240.29420972,98.3924051097625,99.6765062612089,127.710149060748
"2015-11-20",2237.63349929184,98.4216119729196,99.6992038768739,127.724234726891
"2015-11-23",2234.99706374157,98.4506254068751,99.7216878051852,127.738714271182
"2015-11-24",2232.38367388173,98.4794384900027,99.7439547947229,127.753593437196
"2015-11-25",2229.79217253333,98.5080443210849,99.7660017008421,127.768877462919
"2015-11-26",2227.22147387002,98.5364360115371,99.7878255880778,127.784571274832
"2015-11-27",2224.67057482333,98.5646067066517,99.8094237044947,127.800679475145
"2015-11-30",2222.13854994485,98.592549718539,99.830793414798,127.817206335312
"2015-12-01",2219.62451236484,98.6202584111415,99.8519321500687,127.834155873318
"2015-12-02",2217.12760987844,98.6477263209581,99.8728374692007,127.851531795188
"2015-12-03",2214.64703251608,98.6749470381189,99.8935069881602,127.869337694651
"2015-12-04",2212.18206574155,98.701914228098,99.9139383837444,127.887576923239
"2015-12-07",2209.73208742648,98.7286216741991,99.9341294222396,127.906252163113
"2015-12-08",2207.29654398491,98.7550632250719,99.9540779220418,127.9253655487
"2015-12-09",2204.87494725248,98.7812328208755,99.9737817742431,127.944918820433
"2015-12-10",2202.46686267907,98.807124581554,99.9932389839926,127.964913329789
"2015-12-11",2200.07191653011,98.8327327877519,100.012447658215,127.985350037651
"2015-12-14",2197.68978737473,98.8580518453107,100.031405981034,128.006229480212
"2015-12-15",2195.3202116227,98.8830763821567,100.050112271973,128.027551883253
"2015-12-16",2192.9630150151,98.907801031154,100.068564874773,128.049316972666
"2015-12-17",2190.61809657332,98.9322205065682,100.086762195133,128.071523668517
"2015-12-18",2188.28543015213,98.9563296269142,100.10470271375,128.094169927532
"2015-12-21",2185.96507764448,98.980123300727,100.122384974666,128.117253108501
"2015-12-22",2183.6572009411,99.0035966860742,100.139807734922,128.140769866027
"2015-12-23",2181.36207777057,99.026745284063,100.156970023393,128.16471621849
"2015-12-24",2179.0801021572,99.0495649663363,100.173871133583,128.189087396252
"2015-12-25",2176.81178776738,99.0720519985738,100.190510628933,NA
"2015-12-28",2174.55776356171,99.0942031550696,100.206888397838,128.213877747807
"2015-12-29",2172.31878415731,99.1160157011655,100.223004605432,128.239080787824
"2015-12-30",2170.09568901021,99.1374874750371,100.238859728156,128.264689219186
"2015-12-31",2167.88941623766,99.1586167753359,100.254454493358,128.290694864449
"2016-01-04",2165.70100089152,99.1794023192457,100.269789856206,128.317088480865
"2016-01-05",2163.53156933919,99.1998431882784,100.284866947771,128.34385984652
"2016-01-06",2161.38228444741,99.2199387452778,100.299687035618,128.370997910883
"2016-01-07",2159.25434937243,99.2396885184965,100.314251405971,128.398490777295
"2016-01-08",2157.14901960905,99.2590923669004,100.328561477457,128.426325937157
"2016-01-11",2155.06754509079,99.2781504058666,100.342618778553,128.45449037485
"2016-01-12",2153.0111910664,99.2968631562402,100.356425016074,128.482970691844
"2016-01-13",2150.98120399021,99.3152315323229,100.369982081766,128.51175302401
"2016-01-14",2148.97881716708,99.333256995348,100.383292125137,128.54082328174
"2016-01-15",2147.0052423323,99.3509416285597,100.396357609852,128.57016726078
"2016-01-18",2145.06168296265,99.3682879726847,100.409181221434,128.599770481652
"2016-01-19",2143.14931442437,99.3852991012946,100.421765915592,128.6296183971
"2016-01-20",2141.26926369504,99.4019784689596,100.434114826119,128.659696379855
"2016-01-21",2139.42263371568,99.4183298380801,100.446231210088,128.689989658624
"2016-01-22",2137.61048523591,99.4343573298617,100.458118484079,128.720483525278
"2016-01-25",2135.8338213737,99.4500654547575,100.469780235708,128.751163445056
"2016-01-26",2134.09360059986,99.4654591306466,100.481220226981,128.782014701613
"2016-01-27",2132.39073590161,99.4805434324581,100.492442236527,128.813018974164
"2016-01-28",2130.72605383527,99.4953236188749,100.503450075541,128.844157935139
"2016-01-29",2129.10029605691,99.5098050682311,100.514247554208,128.875413276141
"2016-02-01",2127.51410860178,99.5239933509377,100.524838514356,128.906766740252
"2016-02-02",2125.96806570426,99.5378943888442,100.535226911799,128.938200251228
"2016-02-03",2124.46265821829,99.5515144411025,100.545416799554,128.969695894091
"2016-02-04",2122.99830864129,99.5648599248132,100.555412232614,129.001236173383
"2016-02-05",2121.57536330397,99.5779374713963,100.565217296801,129.032804097036
"2016-02-15",2120.19410479765,99.5907539954831,100.574836154237,129.221922449673
"2016-02-16",2118.8547447912,99.6033167060413,100.584273055829,129.253268422789
"2016-02-17",2117.55741922852,99.615633270557,100.593532432361,129.284534777215
"2016-02-18",2116.30221021134,99.6277116692988,100.602618812057,129.315712088043
"2016-02-19",2115.0891515787,99.6395602150278,100.611536816755,129.34679143924
"2016-02-22",2113.91823190581,99.651187328925,100.620291174683,129.377764507649
"2016-02-23",2112.78938128176,99.6626014819561,100.628886720909,129.408623588874
"2016-02-24",2111.70248973377,99.6738111611303,100.63732838545,129.439361558645
"2016-02-25",2110.65739992231,99.6848248317133,100.645620983046,129.469971737372
"2016-02-26",2109.65391279884,99.6956508912585,100.653769209665,129.500448109959
"2016-02-29",2108.69174570966,99.7062975989156,100.661777610143,129.530785384163
"2016-03-01",2107.77054231821,99.7167730998914,100.669650624417,129.560978803642
"2016-03-02",2106.88986217253,99.7270854375836,100.677392613151,129.591024193533
"2016-03-03",2106.04919877797,99.7372425203145,100.685007899952,129.620917579834
"2016-03-04",2105.24801294738,99.747252013729,100.692500693763,129.650655112375
"2016-03-07",2104.48573314845,99.7571212621914,100.699875007178,129.680233046013
"2016-03-08",2103.76178609298,99.766857334251,100.707134719484,129.70964753456
"2016-03-09",2103.07559870519,99.7764668573515,100.714283462,129.73889456688
"2016-03-10",2102.42659668516,99.7859560675441,100.721324672953,129.767970226024
"2016-03-11",2101.81419511971,99.7953309377909,100.728261664793,129.796870677137
"2016-03-14",2101.23778568841,99.8045972897812,100.735097687414,129.825591767919
"2016-03-15",2100.69673981049,99.8137609430017,100.741836003832,129.854128900395
"2016-03-16",2100.19041491779,99.8228276530342,100.748479858423,129.882477109488
"2016-03-17",2099.71815996982,99.8318031325705,100.755032469999,129.910630805774
"2016-03-18",2099.27932607941,99.8406931634041,100.761497078671,129.938583983374
"2016-03-21",2098.87327687666,99.8495034687133,100.767876872866,129.966330305217
"2016-03-22",2098.49938455695,99.8582397052518,100.774174994921,129.993863194816
"2016-03-23",2098.15705360987,99.8669073894367,100.780394492979,130.021175714977
"2016-03-24",2097.84571485643,99.875511939206,100.786538355589,130.048260407893
"2016-03-25",2097.56482501165,99.8840586787037,100.792609504995,NA
"2016-03-28",2097.31385160173,99.8925529256615,100.798610835941,130.075109490537
"2016-03-29",2097.09227729632,99.9009999713318,100.804545237955,130.101714927416
"2016-03-30",2096.89959033974,99.9094049901712,100.81041556394,130.128068361359
"2016-03-31",2096.73528141836,99.9177731190205,100.81622474759,NA
"2016-04-01",2096.59886506949,99.9261094494967,100.821975829902,130.154161418983
"2016-04-05",2096.48988132018,99.9344190245343,100.827671931971,130.205532597455
"2016-04-06",2096.40789830644,99.9427068638744,100.833316273283,130.230794115864
"2016-04-07",2096.35251579051,99.9509778614234,100.838912094952,130.255762251463
"2016-04-08",2096.32336155711,99.9592367570259,100.844462649124,130.280429292806
"2016-04-11",2096.32008176381,99.9674880917093,100.849971192528,130.304787739194
"2016-04-12",2096.34233409116,99.9757362910759,100.855441033784,130.328830348598
"2016-04-13",2096.3897963422,99.9839856908272,100.860875560064,130.352550185746
"2016-04-14",2096.46216593691,99.9922405333544,100.866278218293,130.375940431343
"2016-04-15",2096.5591703095,100.000504881656,100.871652405433,130.39899440455
"2016-04-18",2096.68057068128,100.008782496053,100.877001333969,130.421705430587
"2016-04-19",2096.82616350866,100.017076925843,100.882328120635,130.444066934544
"2016-04-20",2096.99576720553,100.025391510014,100.887635813129,130.466072367423
"2016-04-21",2097.18922423244,100.033729406882,100.892927387919,130.487715125848
"2016-04-22",2097.40638779918,100.042093470786,100.898205677772,130.508988303995
"2016-04-25",2097.64712732354,100.0504862569,100.903473361302,130.52988463298
"2016-04-26",2097.91133305415,100.058910050851,100.908732985591,130.550396465577
"2016-04-27",2098.19891142371,100.067366724704,100.913986881336,130.570515670728
"2016-04-28",2098.5097868415,100.075857857492,100.919237243352,130.590233528173
"2016-04-29",2098.84389752341,100.084384731714,100.924486111859,130.609541023705
"2016-05-03",2099.20119247003,100.092948437303,100.929735424057,130.646887689474
"2016-05-04",2099.58163132843,100.101549826765,100.934986983011,130.664907586102
"2016-05-05",2099.98519681072,100.110189610845,100.940242550565,130.682478700233
"2016-05-06",2100.41189213917,100.118868396307,100.94550386583,130.699590990959
"2016-05-09",2100.86173963947,100.127586682364,100.950772651282,130.71623431611
"2016-05-10",2101.33475782944,100.136344869489,100.956050618858,130.732398554347
"2016-05-11",2101.83094841896,100.145143408757,100.961339554578,130.748073598293
"2016-05-12",2102.3502978506,100.153982839558,100.966641337032,130.763249386576
"2016-05-13",2102.89277973997,100.162863306465,100.97195756731,130.777915897355
"2016-05-16",2103.45835681054,100.171784679588,100.977289632939,130.792063142039
"2016-05-17",2104.04697951194,100.180746501298,100.982638668489,130.805681159234
"2016-05-18",2104.65858768774,100.189747825464,100.988005503765,130.81876000889
"2016-05-19",2105.29310942259,100.198787222015,100.993390657459,130.83128976667
"2016-05-20",2105.9504579787,100.207862682282,100.998794272932,130.843260208529
"2016-05-23",2106.63053054142,100.21697164006,101.00421613252,130.854660605341
"2016-05-24",2107.33320571538,100.226111071199,101.009655709038,130.86547971795
"2016-05-25",2108.05834456611,100.235277477438,101.015112147002,130.875705540562
"2016-05-26",2108.80578561737,100.244466973562,101.020584322389,130.885325296264
"2016-05-27",2109.57534628739,100.253675275353,101.026070840378,130.894325684706
"2016-05-30",2110.36682266267,100.262897642049,101.031569991752,130.902692878123
"2016-05-31",2111.1799912466,100.272128843603,101.037079734099,130.910412517611
"2016-06-01",2112.01461392345,100.281363099004,101.042597668865,130.91746970967
"2016-06-02",2112.8704661439,100.290594159264,101.048121101088,130.923849023018
"2016-06-03",2113.74732930493,100.299815274664,101.053647037112,130.929534485665
"2016-06-06",2114.64499047888,100.309019137207,101.059172140967,130.934509582282
"2016-06-07",2115.56324874716,100.318197897469,101.064692752757,130.93875725185
"2016-06-08",2116.50190945572,100.327343181464,101.070204911175,130.942259885603
"2016-06-13",2117.46078499279,100.336446053784,101.075704326419,130.948113233389
"2016-06-14",2118.43969225148,100.345497005546,101.081186344848,130.948448626345
"2016-06-15",2119.43842462083,100.354486053975,101.086646008708,130.947943577155
"2016-06-16",2120.45676125405,100.363402829598,101.092078107607,130.946579011929
"2016-06-17",2121.49447021034,100.372236605598,101.097477180388,130.944336259369
"2016-06-20",2122.55130803406,100.380976418137,101.102837595559,130.941197154673
"2016-06-21",2123.62702378997,100.389611037901,101.108153532525,130.937144040469
"2016-06-22",2124.72134440697,100.398128958223,101.113418979372,130.932159768103
"2016-06-23",2125.83397415063,100.406518441115,101.11862776374,130.926227699321
"2016-06-24",2126.96459880049,100.414767534414,101.123773546511,130.91933134015
"2016-06-27",2128.11288279272,100.42286406005,101.12884982379,130.911454343346
"2016-06-28",2129.27845750932,100.430795738773,101.13384999505,130.902580511249
"2016-06-29",2130.46093138553,100.438550302553,101.138767431304,130.892694612861
"2016-06-30",2131.65989190812,100.446115363157,101.143595390367,130.881782355224
"2016-07-01",2132.87491388986,100.453478396539,101.148327014823,130.869830400414
"2016-07-04",2134.10555938727,100.46062685546,101.152955392031,130.856826247316
"2016-07-05",2135.35137893456,100.467548265648,101.157473610043,130.842758236571
"2016-07-06",2136.61192500639,100.474230111235,101.16187471022,NA
"2016-07-07",2137.88675431379,100.48065979056,101.166151664697,130.827615555948
"2016-07-08",2139.17542670442,100.486824683681,101.170297403495,130.811388549731
"2016-07-11",2140.47750529691,100.492712257189,101.174304874763,130.794068770201
"2016-07-12",2141.79255264139,100.498310061657,101.178167063729,130.775648971401
"2016-07-13",2143.12013357073,100.503605650672,101.181876929039,130.756123116304
"2016-07-14",2144.45983425027,100.508586504115,101.185427359825,130.735486384418
"2016-07-15",2145.81126105033,100.513239997036,101.188811153507,130.713734805278
"2016-07-18",2147.17404015774,100.51755342653,101.192021026719,130.690865060293
"2016-07-19",2148.5478166039,100.521514104891,101.195049671788,NA
"2016-07-20",2149.93224791438,100.525109353687,101.197889747135,NA
"2016-07-21",2151.32699634867,100.528326526931,101.200533896696,130.666874491733
"2016-07-22",2152.73172559966,100.531153129468,101.202974823145,NA
"2016-07-25",2154.14610600415,100.533576844577,101.205205307476,130.641761073417
"2016-07-26",2155.56980486832,100.535585532807,101.207218212127,130.615523420625
"2016-07-27",2157.00248712319,100.537167160702,101.209006446985,NA
"2016-07-28",2158.44382597936,100.538309882641,101.210563014026,130.58816074881
"2016-07-29",2159.89349299303,100.539002002986,101.211880990043,NA
"2016-08-01",2161.35116028098,100.539232087212,101.212953583871,NA
"2016-08-02",2162.81649669712,100.538988920288,101.213774111039,NA
"2016-08-03",2164.28916136027,100.53826144871,101.214335968531,NA
"2016-08-04",2165.76880354444,100.537038838475,101.214632675775,130.559672884446
"2016-08-05",2167.25506116078,100.535310520846,101.214657899218,NA
"2016-08-08",2168.74756006321,100.533066205264,101.214405456336,130.530060418447
"2016-08-09",2170.2459159142,100.530295983398,101.213869373492,130.499324717946
"2016-08-10",2171.74973745351,100.526990334206,101.213043890174,130.467467712467
"2016-08-11",2173.25863174843,100.52314017469,101.211923484022,NA
"2016-08-12",2174.77220390294,100.518736886052,101.210502875297,130.434492106868
"2016-08-15",2176.29005883141,100.51377217889,101.208777060418,130.400401465554
"2016-08-16",2177.8118179941,100.50823819008,101.206741378685,130.365200226118
"2016-08-17",2179.33714580347,100.502127550975,101.20439155846,130.328893713428
"2016-08-18",2180.86574006656,100.495433294612,101.201723536133,130.291488108958
"2016-08-19",2182.39732854364,100.488148829306,101.198733448824,130.252990465796
"2016-08-22",2183.93166583619,100.480267949686,101.195417639622,130.213408724104
"2016-08-23",2185.46853192709,100.471784736364,101.191772592681,130.17275172703
"2016-08-24",2187.00772708209,100.462693641864,101.18779496766,NA
"2016-08-25",2188.54907204127,100.452989332922,101.183481510291,NA
"2016-08-26",2190.09240333184,100.442666685969,101.178829045757,130.131029237078
"2016-08-29",2191.63756725737,100.431720770484,101.173834468071,130.088251952901
"2016-08-30",2193.18441876378,100.420146948327,101.168494820542,130.0444314555
"2016-08-31",2194.73281840316,100.407940799731,101.162807256499,129.999580225909
"2016-09-01",2196.28263748139,100.395097983401,101.156768958829,129.953711663296
"2016-09-02",2197.83376031163,100.381614278771,101.150377162996,129.906840103516
"2016-09-05",2199.38607753859,100.367485620244,101.143629171935,129.858980838062
"2016-09-06",2200.93948847363,100.352708090365,101.136522354564,129.810150133448
"2016-09-07",2202.49390119705,100.337277913261,101.129054136175,129.760365250985
"2016-09-08",2204.04923580161,100.321191423545,101.121221988961,129.709644466965
"2016-09-09",2205.60542540343,100.304445052031,101.113023422711,NA
"2016-09-12",2207.16241409364,100.287035406784,101.104456045916,NA
"2016-09-13",2208.72015389765,100.268959321376,101.095517585691,129.658007093248
"2016-09-14",2210.27858875454,100.250213775284,101.086205845847,129.605473498221
"2016-09-19",2211.83765321179,100.2307960171,101.076518756056,129.497801719269
"2016-09-20",2213.39726723414,100.210703592944,101.066454388099,129.442706939107
"2016-09-21",2214.95734060211,100.189934371029,101.056010964009,129.386802595925
"2016-09-22",2216.51776614961,100.168486562366,101.045186868492,129.330111477567
"2016-09-23",2218.07842085514,100.146358729349,101.033980653249,129.272656812639
"2016-09-26",2219.63917057051,100.123549786351,101.02239104558,129.214462293948
"2016-09-27",2221.19986722621,100.100059062612,101.010416981953,129.155552102247
"2016-09-28",2222.76033843097,100.075886353,100.998057625198,NA
"2016-09-29",2224.32038988553,100.051031915325,100.985312381852,NA
"2016-09-30",2225.87980291878,100.025496472056,100.972180911405,NA
"2016-10-10",2227.43833781118,99.9992812123341,100.958663135703,128.974782865039
"2016-10-11",2228.99573397687,99.9723878066607,100.944759244374,128.913269655699
"2016-10-12",2230.55171932272,99.9448185624059,100.930469770684,NA
"2016-10-13",2232.10601142339,99.9165763894587,100.915795589024,NA
"2016-10-14",2233.65831448063,99.887664762019,100.900737896011,128.851174072567
"2016-10-17",2235.20831719273,99.8580877716093,100.88529824962,NA
"2016-10-18",2236.75569690779,99.8278501638248,100.869478583682,128.788524294739
"2016-10-19",2238.30011071586,99.7969573753623,100.853281243196,128.725349027864
"2016-10-20",2239.84120902887,99.765415529985,100.836708974334,128.661677530033
"2016-10-21",2241.37863361948,99.7332315215617,100.819764980746,NA
"2016-10-24",2242.91201855484,99.7004131221793,100.802452992403,128.597539637898
"2016-10-25",2244.44099080113,99.6669690202495,100.784777276746,128.532965792989
"2016-10-26",2245.96518389198,99.6329086935269,100.766742563162,128.467987158629
"2016-10-27",2247.48423498166,99.5982423774716,100.748354017225,128.402635478716
"2016-10-28",2248.99778074276,99.5629809925157,100.729617186149,NA
"2016-10-31",2250.50545549829,99.5271362534701,100.710538084922,NA
"2016-11-01",2252.00689291075,99.490720700631,100.691123208188,NA
"2016-11-02",2253.50172345755,99.4537475864605,100.67137946373,128.336943104591
"2016-11-03",2254.98957835729,99.4162309237011,100.651314197027,128.270942821811
"2016-11-04",2256.47008349551,99.3781855130656,100.630935228351,128.204668083988
"2016-11-07",2257.94286806895,99.3396270290135,100.610250898265,128.138153040071
"2016-11-08",2259.40756413888,99.3005720396116,100.589270071912,NA
"2016-11-09",2260.86380833716,99.2610379191327,100.56800209383,128.071432561739
"2016-11-10",2262.31124622108,99.2210428435299,100.54645679662,128.004542270898
"2016-11-11",2263.74952456164,99.1806058150487,100.524644505611,127.937518166838
"2016-11-14",2265.17830033519,99.1397465630151,100.502575973353,NA
"2016-11-15",2266.59724897475,99.0984851017246,100.480262388641,NA
"2016-11-16",2268.00606642504,99.0568416646558,100.457715352564,NA
"2016-11-17",2269.40446615825,99.0148367918019,100.434946602511,NA
"2016-11-18",2270.79217743452,98.9724912518083,100.411967951218,NA
"2016-11-21",2272.16894695586,98.9298260138681,100.388791234183,NA
"2016-11-22",2273.5345321749,98.8868622404234,100.365428281952,NA
"2016-11-23",2274.88871097707,98.8436213461369,100.34189094624,NA
"2016-11-24",2276.23128996204,98.8001250197877,100.31819110959,NA
"2016-11-25",2277.56210669477,98.7563953661499,100.294340798434,NA
"2016-11-28",2278.88103171342,98.7124548578366,100.270352172232,NA
"2016-11-29",2280.18798219878,98.6683263079055,100.246237504387,NA
"2016-11-30",2281.48292680278,98.6240328962905,100.222009212833,NA
"2016-12-01",2282.765902304,98.5795979110901,100.197679696392,NA
"2016-12-02",2284.03700249043,98.5350447379425,100.173261324121,NA
"2016-12-05",2285.2963837468,98.4903965973085,100.148766296556,NA
"2016-12-06",2286.5442556006,98.4456765918222,100.124206647544,NA
"2016-12-07",2287.78086267509,98.4009076131407,100.099594188225,NA
"2016-12-08",2289.00648268536,98.3561121950852,100.074940426249,127.870396059679
"2016-12-09",2290.22142758057,98.3113126024176,100.050256609018,127.803211598072
"2016-12-12",2291.42604568286,98.2665308741593,100.025553746275,127.735999483129
"2016-12-13",2292.62073383397,98.2217888007731,100.000842607908,NA
"2016-12-14",2293.80592565389,98.1771075169137,99.9761335440176,NA
"2016-12-15",2294.98208683077,98.1325074579183,99.9514364496592,127.668792992425
"2016-12-16",2296.14970991869,98.088008270803,99.9267607089206,127.601624007789
"2016-12-19",2297.30929119935,98.0436281258521,99.9021147339003,NA
"2016-12-20",2298.46133003416,97.9993842723818,99.8775063675994,127.534522345531
"2016-12-21",2299.6063192082,97.9552925651852,99.8529425964898,127.467515906939
"2016-12-22",2300.74473841908,97.9113675158914,99.8284295400189,NA
"2016-12-23",2301.87706347617,97.8676229312298,99.8039729030578,127.400630789971
"2016-12-26",2303.00376103515,97.82407223294,99.7795781100421,NA
"2016-12-27",2304.12528168143,97.7807283063763,99.75525018694,127.333891316947
"2016-12-28",2305.24206773171,97.7376035515786,99.7309938126715,127.267320062202
"2016-12-29",2306.35454946346,97.6947097110442,99.7068132423598,127.200937879668
"2016-12-30",2307.46314175977,97.6520580735647,99.6827124330981,127.134763930398
"2017-01-03",2308.5682427401,97.6096599218517,99.6586952895598,127.068815710003
"2017-01-04",2309.67023644359,97.5675264013567,99.6347655995568,127.003109076002
"2017-01-05",2310.76950295425,97.5256685667335,99.6109270398329,NA
"2017-01-06",2311.86642398051,97.4840973331152,99.5871831694214,126.93765827509
"2017-01-09",2312.96138207011,97.4428235843574,99.5635375345713,NA
"2017-01-10",2314.05475643646,97.4018581034154,99.5399936165588,126.87247597029
"2017-01-11",2315.14692597824,97.3612117547489,99.5165548993314,126.807573797613
"2017-01-12",2316.23826684333,97.3208954805887,99.4932248709723,126.742962392994
"2017-01-13",2317.32914833977,97.2809201854609,99.4700069755199,NA
"2017-01-16",2318.41992926044,97.2412967900582,99.4469046432782,126.678651419123
"2017-01-17",2319.51096330186,97.2020363056297,99.4239213500184,126.614649592157
"2017-01-18",2320.60260696313,97.1631495858131,99.4010604446493,126.550964708294
"2017-01-19",2321.69521926036,97.1246472353871,99.3783251297829,126.487603670238
"2017-01-20",2322.78916929452,97.0865396470171,99.3557184835851,126.424572513518
"2017-01-23",2323.88483125289,97.0488371370407,99.3332435766468,126.361876432684
"2017-01-24",2324.98259048796,97.0115500852313,99.3109035267982,NA
"2017-01-25",2326.0828418244,96.9746888842434,99.2887014918647,NA
"2017-01-26",2327.18599092413,96.9382636202044,99.2666405424929,126.299519807355
"2017-02-03",2328.29245697301,96.9022833976402,99.2447236175905,126.114517785446
"2017-02-06",2329.4026747877,96.8667562181235,99.222953574783,126.053545595086
"2017-02-07",2330.517084851,96.8316886768626,99.2013330671959,125.992921970647
"2017-02-08",2331.63613277026,96.7970859195111,99.179864585524,125.93264652823
"2017-02-09",2332.76026550988,96.7629517889428,99.158549962669,NA
"2017-02-10",2333.88993514496,96.7292890462317,99.1373905190223,125.872718395999
"2017-02-13",2335.02560137288,96.6960995377077,99.1163871415469,NA
"2017-02-14",2336.16773592391,96.6633841303317,99.0955402553216,125.813136239093
"2017-02-15",2337.31682572938,96.631142886625,99.0748499396965,NA
"2017-02-16",2338.47337087883,96.5993749748537,99.0543158914402,125.753898252117
"2017-02-17",2339.63788356626,96.5680786038157,99.0339374084914,125.695002183769
"2017-02-20",2340.81088827347,96.5372513790628,99.013713600993,125.636445361328
"2017-02-21",2341.99291591501,96.5068903075698,98.9936433873147,NA
"2017-02-22",2343.18451906099,96.4769920171557,98.973725593352,125.578224714997
"2017-02-23",2344.38626954702,96.4475525375527,98.9539588409479,125.520336802113
"2017-02-24",2345.5987592217,96.4185675442483,98.9343416925351,125.462777831207
"2017-02-27",2346.82259498563,96.3900323665185,98.9148726634405,125.405543685937
"2017-02-28",2348.05839886887,96.3619420159451,98.8955502093257,125.348629948877
"2017-03-01",2349.30680074597,96.3342911651407,98.8763727053,125.292031925178
"2017-03-02",2350.56843633706,96.3070742668344,98.8573385283118,125.235744666095
"2017-03-03",2351.84394743584,96.2802852966195,98.8384459162669,125.179762992376
"2017-03-06",2353.13397444367,96.2539177352647,98.8196929552281,125.124081517539
"2017-03-07",2354.439151874,96.2279645219205,98.8010775624225,125.068694671003
"2017-03-08",2355.76010955531,96.2024180484833,98.7825974609255,125.013596721109
"2017-03-09",2357.09747432365,96.1772702612624,98.7642502452256,NA
"2017-03-10",2358.45187088208,96.1525124772593,98.7460332441873,NA
"2017-03-13",2359.82391504754,96.128135340829,98.7279434914324,124.958781798014
"2017-03-14",2361.21421112405,96.1041288876485,98.7099777576727,NA
"2017-03-15",2362.62336076031,96.080482885482,98.6921327193969,124.904243916466
"2017-03-16",2364.05196055616,96.0571868730382,98.6744050117671,124.849976998464
"2017-03-17",2365.50060197607,96.0342302193495,98.6567912359952,124.7959748958
"2017-03-20",2366.96987844713,96.0116024186184,98.6392880824108,124.742231412489
"2017-03-21",2368.46037078877,95.9892930666395,98.6218923088081,124.688740327096
"2017-03-22",2369.97264875483,95.9672919032205,98.6046007476799,NA
"2017-03-23",2371.50727289758,95.9455889123442,98.5874103712794,124.635495414947
"2017-03-24",2373.06478799029,95.9241743312619,98.5703182574317,124.582490470244
"2017-03-27",2374.6457252863,95.9030387090673,98.5533216297078,NA
"2017-03-28",2376.25061262264,95.8821731718329,98.5364179967657,NA
"2017-03-29",2377.87997037699,95.8615694272128,98.5196052089788,NA
"2017-03-30",2379.5343091508,95.8412196077229,98.5028813992861,NA
"2017-03-31",2381.21413066656,95.8211162751252,98.4862449860079,NA
